"Date","Price","Open","High","Low","Vol.","Change %"
"13-11-2023","60,554.00","60,554.00","60,554.00","60,554.00","","0.59%"
"10-11-2023","60,200.00","60,200.00","60,200.00","60,200.00","","-1.05%"
"09-11-2023","60,836.00","60,836.00","60,836.00","60,836.00","","0.38%"
"08-11-2023","60,605.00","60,605.00","60,605.00","60,605.00","","-0.50%"
"07-11-2023","60,911.00","60,911.00","60,911.00","60,911.00","","-0.97%"
"06-11-2023","61,507.00","61,698.00","61,698.00","61,698.00","","-0.31%"
"03-11-2023","61,698.00","61,698.00","61,698.00","61,698.00","","0.33%"
"02-11-2023","61,495.00","61,495.00","61,495.00","61,495.00","","-0.19%"
"01-11-2023","61,612.00","60,820.00","61,164.00","60,661.00","","-0.52%"
"31-10-2023","61,935.00","61,935.00","61,935.00","61,935.00","","0.06%"
"30-10-2023","61,897.00","61,396.00","61,396.00","61,110.00","","0.47%"
"27-10-2023","61,605.00","61,605.00","61,605.00","61,605.00","","0.27%"
"26-10-2023","61,441.00","60,824.00","61,070.00","60,585.00","","0.44%"
"25-10-2023","61,172.00","60,478.00","60,911.00","60,277.00","","-0.20%"
"24-10-2023","61,293.00","60,184.00","60,574.00","60,125.00","","-0.24%"
"23-10-2023","61,438.00","60,400.00","60,801.00","60,400.00","","0.75%"
"20-10-2023","60,979.00","60,979.00","60,979.00","60,979.00","","0.27%"
"19-10-2023","60,812.00","60,812.00","60,812.00","60,812.00","","0.98%"
"18-10-2023","60,221.00","59,500.00","60,259.00","59,480.00","","0.17%"
"17-10-2023","60,118.00","60,118.00","60,118.00","60,118.00","","-0.23%"
"16-10-2023","60,256.00","60,256.00","60,256.00","60,256.00","","2.46%"
"13-10-2023","58,807.00","58,807.00","58,807.00","58,807.00","","-0.29%"
"12-10-2023","58,978.00","58,978.00","58,978.00","58,978.00","","0.67%"
"11-10-2023","58,583.00","58,583.00","58,583.00","58,583.00","","0.12%"
"10-10-2023","58,512.00","58,512.00","58,512.00","58,512.00","","1.43%"
"09-10-2023","57,685.00","57,685.00","57,685.00","57,685.00","","0.35%"
"06-10-2023","57,483.00","57,483.00","57,483.00","57,483.00","","0.75%"
"05-10-2023","57,053.00","57,300.00","57,357.00","56,975.00","0.16K","-0.40%"
"04-10-2023","57,283.00","57,277.00","57,450.00","57,160.00","0.16K","-0.24%"
"03-10-2023","57,421.00","57,087.00","57,541.00","57,087.00","0.10K","-1.10%"
"29-09-2023","58,058.00","58,300.00","58,694.00","58,023.00","0.12K","-0.40%"
"28-09-2023","58,291.00","58,600.00","58,700.00","58,161.00","0.13K","-0.99%"
"27-09-2023","58,873.00","59,171.00","59,218.00","58,793.00","0.03K","-0.80%"
"26-09-2023","59,348.00","59,532.00","59,607.00","59,315.00","0.03K","-0.64%"
"25-09-2023","59,732.00","59,764.00","59,852.00","59,616.00","0.01K","0.08%"
"22-09-2023","59,682.00","59,672.00","59,720.00","59,653.00","0.00K","-0.27%"
"21-09-2023","59,841.00","59,974.00","59,992.00","59,650.00","0.01K","-0.81%"
"20-09-2023","60,332.00","60,332.00","60,332.00","60,332.00","","0.37%"
"19-09-2023","60,110.00","60,110.00","60,110.00","60,110.00","","0.00%"
"18-09-2023","60,110.00","60,110.00","60,110.00","60,110.00","0.00K","0.30%"
"15-09-2023","59,933.00","59,919.00","59,946.00","59,919.00","0.00K","1.01%"
"14-09-2023","59,333.00","59,320.00","59,345.00","59,320.00","0.00K","-0.13%"
"13-09-2023","59,408.00","59,408.00","59,408.00","59,408.00","","0.00%"
"12-09-2023","59,408.00","59,600.00","59,600.00","59,325.00","0.01K","-0.79%"
"11-09-2023","59,879.00","59,879.00","59,879.00","59,879.00","0.00K","-0.03%"
"08-09-2023","59,898.00","59,898.00","59,898.00","59,898.00","","0.00%"
"07-09-2023","59,898.00","59,898.00","59,898.00","59,898.00","0.00K","0.04%"
"06-09-2023","59,876.00","59,894.00","59,894.00","59,850.00","0.00K","-0.40%"
"05-09-2023","60,119.00","60,119.00","60,119.00","60,119.00","0.00K","0.06%"
"04-09-2023","60,081.00","60,081.00","60,081.00","60,081.00","0.00K","-0.28%"
"01-09-2023","60,252.00","60,252.00","60,252.00","60,252.00","","0.00%"
"31-08-2023","60,252.00","60,234.00","60,290.00","60,233.00","0.00K","0.09%"
"30-08-2023","60,200.00","60,190.00","60,210.00","60,190.00","0.00K","0.32%"
"29-08-2023","60,010.00","60,010.00","60,010.00","60,010.00","0.00K","1.09%"
"28-08-2023","59,361.00","59,361.00","59,361.00","59,361.00","","-0.51%"
"25-08-2023","59,667.00","59,667.00","59,667.00","59,667.00","","0.05%"
"24-08-2023","59,637.00","59,637.00","59,637.00","59,637.00","","0.50%"
"23-08-2023","59,338.00","59,338.00","59,338.00","59,338.00","","0.20%"
"22-08-2023","59,221.00","59,221.00","59,221.00","59,221.00","","0.12%"
"21-08-2023","59,151.00","59,151.00","59,151.00","59,151.00","","0.05%"
"18-08-2023","59,124.00","59,124.00","59,124.00","59,124.00","","-0.57%"
"17-08-2023","59,465.00","59,465.00","59,465.00","59,465.00","","-0.47%"
"16-08-2023","59,744.00","59,744.00","59,744.00","59,744.00","","0.21%"
"14-08-2023","59,617.00","59,617.00","59,617.00","59,617.00","","0.02%"
"11-08-2023","59,603.00","59,603.00","59,603.00","59,603.00","","-0.26%"
"10-08-2023","59,761.00","59,761.00","59,761.00","59,761.00","","-0.37%"
"09-08-2023","59,983.00","59,983.00","59,983.00","59,983.00","","-0.32%"
"08-08-2023","60,178.00","60,178.00","60,178.00","60,178.00","","-0.16%"
"07-08-2023","60,277.00","60,277.00","60,277.00","60,277.00","","0.63%"
"04-08-2023","59,899.00","59,780.00","60,017.00","59,621.00","0.38K","0.17%"
"03-08-2023","59,795.00","59,769.00","59,894.00","59,616.00","0.17K","-0.08%"
"02-08-2023","59,843.00","59,880.00","60,153.00","59,750.00","0.32K","0.18%"
"01-08-2023","59,738.00","60,250.00","60,250.00","59,720.00","0.14K","-1.13%"
"31-07-2023","60,422.00","60,000.00","60,449.00","59,951.00","0.13K","0.50%"
"28-07-2023","60,123.00","59,900.00","60,150.00","59,756.00","0.25K","0.65%"
"27-07-2023","59,737.00","60,378.00","60,499.00","59,570.00","0.06K","-0.96%"
"26-07-2023","60,314.00","60,042.00","60,345.00","60,042.00","0.02K","0.84%"
"25-07-2023","59,809.00","59,800.00","59,950.00","59,717.00","0.01K","0.06%"
"24-07-2023","59,775.00","59,760.00","59,800.00","59,750.00","0.01K","-0.40%"
"21-07-2023","60,015.00","60,182.00","60,182.00","59,910.00","0.02K","-0.60%"
"20-07-2023","60,376.00","60,450.00","60,501.00","60,150.00","0.01K","0.07%"
"19-07-2023","60,335.00","60,335.00","60,335.00","60,335.00","0.00K","-0.32%"
"18-07-2023","60,527.00","59,963.00","60,640.00","59,963.00","0.02K","1.20%"
"17-07-2023","59,810.00","59,838.00","59,838.00","59,782.00","0.00K","-0.27%"
"14-07-2023","59,973.00","59,968.00","60,000.00","59,964.00","0.01K","-0.06%"
"13-07-2023","60,008.00","60,000.00","60,015.00","60,000.00","0.00K","0.44%"
"12-07-2023","59,744.00","59,464.00","59,875.00","59,464.00","0.00K","0.32%"
"11-07-2023","59,553.00","59,553.00","59,553.00","59,553.00","0.00K","0.35%"
"10-07-2023","59,345.00","59,365.00","59,365.00","59,325.00","0.00K","0.01%"
"07-07-2023","59,342.00","59,275.00","59,525.00","59,257.00","0.01K","0.22%"
"06-07-2023","59,211.00","59,244.00","59,244.00","59,189.00","0.00K","0.04%"
"05-07-2023","59,187.00","59,105.00","59,303.00","59,105.00","0.01K","0.36%"
"04-07-2023","58,975.00","58,975.00","58,975.00","58,975.00","","0.31%"
"03-07-2023","58,793.00","58,793.00","58,793.00","58,793.00","","0.00%"
"30-06-2023","58,793.00","58,570.00","58,825.00","58,514.00","0.02K","0.28%"
